oui,vendor,registry
000142,Cisco Systems Inc,MA-L
0001C7,Cisco Systems Inc,MA-L
000296,Cisco Systems Inc,MA-L
0003E3,Cisco Systems Inc,MA-L
000ABB,Cisco Systems Inc,MA-L
000B85,Cisco Systems Inc,MA-L
000C85,Cisco Systems Inc,MA-L
000D28,Cisco Systems Inc,MA-L
000F34,Cisco Systems Inc,MA-L
00112B,Cisco Systems Inc,MA-L
00122A,Cisco Systems Inc,MA-L
001401,Cisco Systems Inc,MA-L
0015C7,Cisco Systems Inc,MA-L
0017DF,Cisco Systems Inc,MA-L
0019AA,Cisco Systems Inc,MA-L
001AA1,Cisco Systems Inc,MA-L
001B0C,Cisco Systems Inc,MA-L
001BD4,Cisco Systems Inc,MA-L
001C0E,Cisco Systems Inc,MA-L
001D45,Cisco Systems Inc,MA-L
001EBD,Cisco Systems Inc,MA-L
001FCA,Cisco Systems Inc,MA-L
00219B,Cisco Systems Inc,MA-L
0022BD,Cisco Systems Inc,MA-L
0023AC,Cisco Systems Inc,MA-L
002440,Cisco Systems Inc,MA-L
0025B4,Cisco Systems Inc,MA-L
002698,Cisco Systems Inc,MA-L
0027E3,Cisco Systems Inc,MA-L
08D09F,Cisco Systems Inc,MA-L
10BD18,Cisco Systems Inc,MA-L
34DBFD,Cisco Systems Inc,MA-L
44AD8B,Cisco Systems Inc,MA-L
50065A,Cisco Meraki,MA-L
E02F6D,Cisco Meraki,MA-L
0CA821,Cisco Meraki,MA-L
30DEAA,Cisco Systems Inc,MA-L
50177F,Cisco Systems Inc,MA-L
78DA6E,Cisco Systems Inc,MA-L
88F031,Cisco Systems Inc,MA-L
A0E0AF,Cisco Systems Inc,MA-L
C0626B,Cisco Systems Inc,MA-L
001124,Apple Inc,MA-L
001451,Apple Inc,MA-L
0016CB,Apple Inc,MA-L
001B63,Apple Inc,MA-L
001EC2,Apple Inc,MA-L
001F5B,Apple Inc,MA-L
0021E9,Apple Inc,MA-L
0022412,Apple Inc,MA-L
00236C,Apple Inc,MA-L
002500,Apple Inc,MA-L
00264A,Apple Inc,MA-L
002608,Apple Inc,MA-L
040CCE,Apple Inc,MA-L
04489A,Apple Inc,MA-L
04F7E4,Apple Inc,MA-L
086698,Apple Inc,MA-L
0C3E9F,Apple Inc,MA-L
10DDB1,Apple Inc,MA-L
18AF8F,Apple Inc,MA-L
1CABA7,Apple Inc,MA-L
20C9D0,Apple Inc,MA-L
28CFE9,Apple Inc,MA-L
2C1F23,Apple Inc,MA-L
3C0754,Apple Inc,MA-L
40B395,Apple Inc,MA-L
4C32D9,Apple Inc,MA-L
5C969D,Apple Inc,MA-L
60FACD,Apple Inc,MA-L
6476BA,Apple Inc,MA-L
68A86D,Apple Inc,MA-L
7CC537,Apple Inc,MA-L
80006E,Apple Inc,MA-L
90840D,Apple Inc,MA-L
98D6BB,Apple Inc,MA-L
A4C361,Apple Inc,MA-L
B07FB9,Apple Inc,MA-L
B8782E,Apple Inc,MA-L
BC926B,Apple Inc,MA-L
C42AD0,Apple Inc,MA-L
D02B20,Apple Inc,MA-L
D4909C,Apple Inc,MA-L
DC86D8,Apple Inc,MA-L
E0F847,Apple Inc,MA-L
F0B0E7,Apple Inc,MA-L
F81EDF,Apple Inc,MA-L
00D9D1,Apple Inc,MA-L
3C2EF9,Apple Inc,MA-L
000F1F,Samsung Electronics,MA-L
0012FB,Samsung Electronics,MA-L
001377,Samsung Electronics,MA-L
0015B9,Samsung Electronics,MA-L
00166B,Samsung Electronics,MA-L
001B98,Samsung Electronics,MA-L
001E7D,Samsung Electronics,MA-L
002339,Samsung Electronics,MA-L
002454,Samsung Electronics,MA-L
002566,Samsung Electronics,MA-L
0026E2,Samsung Electronics,MA-L
004FA7,Samsung Electronics,MA-L
04FE31,Samsung Electronics,MA-L
1485A6,Samsung Electronics,MA-L
1C5A3E,Samsung Electronics,MA-L
3048B6,Samsung Electronics,MA-L
3416B0,Samsung Electronics,MA-L
38ECE4,Samsung Electronics,MA-L
4020C4,Samsung Electronics,MA-L
503275,Samsung Electronics,MA-L
54B897,Samsung Electronics,MA-L
5CA86A,Samsung Electronics,MA-L
6061C7,Samsung Electronics,MA-L
64778B,Samsung Electronics,MA-L
744AA4,Samsung Electronics,MA-L
78BDBC,Samsung Electronics,MA-L
7CF90E,Samsung Electronics,MA-L
88329B,Samsung Electronics,MA-L
90B6EF,Samsung Electronics,MA-L
94630F,Samsung Electronics,MA-L
9C0298,Samsung Electronics,MA-L
A0821F,Samsung Electronics,MA-L
A4EBD3,Samsung Electronics,MA-L
AC5F3E,Samsung Electronics,MA-L
B407F9,Samsung Electronics,MA-L
B85E7B,Samsung Electronics,MA-L
C8193B,Samsung Electronics,MA-L
D487D8,Samsung Electronics,MA-L
E4B021,Samsung Electronics,MA-L
E8039A,Samsung Electronics,MA-L
EC1F72,Samsung Electronics,MA-L
F008F1,Samsung Electronics,MA-L
F47B5E,Samsung Electronics,MA-L
FCA13E,Samsung Electronics,MA-L
000E08,Microsoft Corp,MA-L
001125,Microsoft Corp,MA-L
00125A,Microsoft Corp,MA-L
0015FF,Microsoft Corp,MA-L
0017FA,Microsoft Corp,MA-L
001DD8,Microsoft Corp,MA-L
0021DA,Microsoft Corp,MA-L
002248,Microsoft Corp,MA-L
0022E5,Microsoft Corp,MA-L
00224D,Microsoft Corp,MA-L
